content,clean_final,pred_topic
Yang jelek cuma rate gacha kek biasa,jelek rate gacha,6
seruuuuuuuu cuma kadang ngelag ajah banner,seruuuuuuuu kadang ngelag ajah banner,-1
"Untuk gameplay dari game bagus, terutama yg waktu di bos jarillo IV, bisa gunain skill golem yg gede 😀😀😀😀",bos jarillo iv gunain skill golem gede,-1
"Sehat"" game baik gacha",gacha,15
yang rating rendah emang gamampu gacha castorice,rating rendah gamampu gacha castorice,6
Game seru banget game nya turn-based,turn based,10
"Gamenya bagus grafik juga bagus,tapi lodingnya lama sama biasanya keluar sendiri😭 gacha",grafik lodingnya gacha,15
"Game yang sangat bagus dari segi gameplay maupun story, recommended banget.Tapi untuk stat relic nya mohon di permudah",segi story recommended stat relic mudah,-1
"Gimana dah baru balik lagi, malah semua akun gua ke reset",gimana akun reset,-1
"yosh game rpg turn base yang emang bener bener ngasih pengalaman beda ama game lain, mulai dari elemental sama weakness break, mantap lah pokoknya, dan juga dari segi gameplay dan juga pov yang bener bener ngasih suasana yang bikin makin betah buat main🔥 pity",yosh rpg turn base bener bener alam beda ama elemental weakness break pokok segi pov bener bener suasana betah pity,18
saud x rizki x harry,saud x rizki x harry,6
Hebat,hebat,21
Kenapa Ngak Bisa Unduh datanya,unduh data,9
"Seru, aku suka semua game yang di buat mihoyo",suka mihoyo,22
Mantap dapet Kafka😁😅😁😅😅😁,kafka,25
Bintang 1 dulu nanti kalo bisa login baru bintang 5,bintang login bintang,3
"Bisakah pada bagian quest (warna biru) itu diberikan fitur skip? , soalnya boring kalau harus ngomong trus ,kalau bisa diberikan fitur skip agar cepat menyelesaikan quest nya turn-based",quest warna biru fitur skip boring ngomong fitur skip cepat selesai quest turn based,-1
Mantap ga kikir banner,kikir banner,2
intinya bukan game kikir😁🙏 turn-based,inti kikir turn based,10
Sangat membosankan banner,bosan banner,16
"knapaa banyak player skill isuuu di game ini?? tapi nyalahin hp inflasi ama powercreep .. gw free player aman2 ajaaa ... amaa padaaa jadii cenayangg global passive bakal ngrusak game, yaaa benerr kalo tiap patch diriliss , laa kaloo setaun skill ???? minn storyy jgn kebanyakan yapping , dan di hp kentang gw kdg stuk login 🙏",knapaa player skill isuuu nyalahin hp inflasi ama powercreep free player aman ajaaa amaa padaaa jadi cenayangg global passive ngrusak yaaa benerr patch diriliss laa kaloo taun skill minn storyy banyak yapping hp kentang kdg stuk login,12
"Msh bnyak bug berkeliaran,. 😂",msh bnyak bug liar,-1
jujur ga paham lagi di spam bintang satu karena castorice mau rilis🗿,jujur paham spam bintang castorice rilis,-1
Mmmwuachhh,mmmwuachhh,7
"Gim baik, tapi game turn base gacha tuh emg berat karena yang namanya turn base itu pasti musuhnya bermacam² tipe, nah buat nye imbangi lawan musuh² jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk.",turn base gacha tuh berat nama turn base musuh tipe nye imbang lawan musuh tipe sesuai gacha character wkwkwk,-1
Game turn base terbaik sejauh ini,turn base baik,10
Bagus banget aku suka Tapi akun aku jarang banget dapat char b5 Tapi gapapa saya sangat menikmati gamenya,suka akun jarang char b gapapa nikmat,0
makin rusak nih game kek genshin,rusak nih genshin,0
wibu bau bawang,wibu bau bawang,2
"Suka banget sama game nya, panjang umur game baik",suka umur,22
"Wadaww Seru cuman you know lah, masih banyak kekurangan. But yeah that's good, I mean, it's a really fun game. Aku gak bisa bilang ini game gak seru, masih banyak kekurangan tapi yah... Just understand",wadaww cuman know kurang yeah mean really fun bilang kurang yah understand,-1
oi give us star 4 remembrance or anything la. too many star 5 who cant compete with new character pity,oi give us star remembrance anything la many star cant compete new character pity,4
Overal bagus cuman Ya namanya juga game turn based Kalo pengen adain fitur kaya Game Genshin ya ngotaklah sikit,overal cuman nama turn based ken adakan fitur kaya genshin ngotaklah sikit,-1
3.0 is the worst Patch and here's the Reasons: 1. So many Black Screen without any Cutscenes/Animation for the Character doing something 2. The Gameplay is very long that took almost 10+hours full of Yapping and less Cutscenes with just only 7 Minutes of Cutscenes 3. Worst Story Telling Ever.. Even HI3 Part 2 Current Patch is better than 3.0 Amphoreus 4. The Static Movement of the Characters without any Variation and Stationary Camera also The characters don't have any Expressions on their Face,worst patch reasons many black screen without cutscenes animation character something long took almost hours full yapping less cutscenes minutes cutscenes worst story telling ever even hi part current patch better amphoreus static movement characters without variation stationary camera also characters expressions face,4
Kecewa berat 🤓🤓,kecewa berat,-1
jadi game ampas gini cok,ampas gin cok,2
"padahal game nya bsgus, cuma gara"" dialog doang banyak dari pada cut shene.",bsgus gara dialog doang cut shene,0
Cinta banget sama nih game ga kikir samsek❤️❤️❤️,cinta nih kikir samsek,-1
powercreepnya mengerikan,powercreepnya keri,14
"Aku sih suka, gamenya bagus banner",suka banner,22
"selalu saja ketika login muncul tulisan login error silahkan coba lagi nanti, kode error 1001_3",login muncul tulis login error silah coba kode error,-1
"Gamenya bagus dari segi gameplay, grafik dan story tapi dialog karakter kepanjangan",segi grafik story dialog karakter panjang,11
SUKA BANGET SAMA GAME NYAAA,suka nyaaa,22
"Saya bermain geishin impact lancar dan grafik full mentok , tidak ada komentar buruk,tapi knpaa game ini ukuran Kecil mengalami patah patah saat bermain di Oppo Reno 4f mohon perbaiki min 👍",main geishin impact lancar grafik full mentok komentar buruk knpaa ukur alami patah patah main oppo reno f baik,23
gem baik lag,lag,3
Udah pernah rate laaa,rate laaa,22
Nunggu give away char b5 😁,tunggu give away char b,5
"Bintang 3 dulu, soalnya baru nyoba ntar kalau bagus saya kasih naikin ratingnya",bintang nyoba naikin ratingnya,-1
Game story tapi characternya hrus gacha? Aku gapaham konsepnya tapi banyak yg suka bahkan keluarin uang,story characternya gacha gapaham konsep suka keluarin uang,18
Aku enggak tahu apakah karena hpku yang tidak mendukung atau gimana tetapi aku tidak bisa memainkan gamenya soalnya gamenya berhenti bi bagian awal tidak bisa di pencet atau di apa apakan mohon developer kasih tahu kenapa ini,hpku dukung gimana main henti bi pencet apa developer,-1
Gapernah gw main game global server asia ping kek main di server luar asia sampe 200ms apaan server asia,gapernah global server asia ping server asia sampe ms server asia,-1
Bug freeze oi,bug freeze oi,-1
Good gacha,gacha,15
Gamenya bagus gak bohong. Cuma ukuran gamenya semakin update semakin besar untuk ukuran mobile sampe 21gb... Gilaaaaaaa,bohong ukur update ukur mobile sampe gb gilaaaaaaa,-1
sparkle is very beautiful and cute,sparkle beautiful cute,5
"the game's so good, i like it a lot, the gameplay, the well designed characters, great story, i couldn't ask more. update",lot well designed characters great story ask update,4
"Makasih udah pulangin mommy jingluku min walaupun pity 8 gapapa lahh, yg penting pulang, tinggal kasih relic yang bagus² yakk wkwkkw",pulangin mommy jingluku pity gapapa lahh pulang tinggal relic yakk wkwkkw,0
Udah sering kalah rate off apalagi si Himeko biji 🗿,kalah rate himeko biji,-1
Selebihnya bagus cuman loading pas mau masuk aja nunggu seabad,lebih cuman loading masuk tunggu abad,-1
Game terbaik. cuman masalah ngeframe pas di cutscene itu aja masalahnya bang hoyoverse,baik cuman ngeframe cutscene bang,-1
Game baik bet,bet,13
Selalu buat event berlimpah kayak kakaknya Hi3.. Jangan se pelit GI,event limpah kakak hi pelit gi,-1
Bagus gamenya Gak sia sai nunggu lama Cuman terkadang loginnya eror Entah itu pas main maupun pas login Tolong diperbaiki secepatnya Soalnya lumayan ganggu,sia sai tunggu cuman terkadang loginnya eror login baik cepat lumayan ganggu,19
"Game kuomttoolllll ga rate off ga rate on dikasih B5 dipity 80+ Mulu kuotnnnntolllllll, kasih kek dipity rendahh anjinkkk hoyoversee luotktmtolllll",kuomttoolllll rate rate kasih b dipity mulu kuotnnnntolllllll dipity rendahh anjinkkk hoyoversee luotktmtolllll,12
"jujur aja makin sini makin kayak kakaknya(HI3) mungkin karena sama sama honkai, tapi tolonglah sekali kali keluarin char b4 jangan b5 mulu, setidaknya b4nya itu versi kurangnya b5 karena lama lama bosen juga disuguhin nya b5 mulu, b4nya jarang banget dan buat buff MoC jangan dibikin terlalu spesifik ke char yang sedang rate up, masih mending AS sama PF ada pilihan buffnya,ini MoC gk ada pilihan dan pasti spesifik ke char yang sedang rate up bannernya, event diperbanyak juga, terlalu sedikit",jujur kakak hi honkai tolong kali keluarin char b b mulu b versi kurang b bosan disuguhin b mulu b jarang buff moc bikin spesifik char rate mending pf pilih buffnya moc pilih spesifik char rate bannernya event banyak,1
Smoga bugnya cepat diperbaiki,moga bugnya cepat baik,-1
"Pliss support 2 akun pang, mksdnya 1 akun game itu tertaut akun google sama FB, di HP buat milih fb gk ad",support akun pang mksdnya akun taut akun google fb hp milih fb ad,-1
Game baik aku sangat suka,suka,22
Mantap tidak kikir,kikir,2
*BARK *BARK *BARK I LOVE STAR RAIL MAN OHH BABY THEY ALL VERY HOT KYAAAA I KEEP WAITING FOR MY SUNDAY,bark bark bark star rail man ohh baby hot kyaaaa keep waiting sunday,-1
Optimalisasi nya jelek'.. ga G ga Hsr sama ja gacha,optimalisasi jelek hsr ja gacha,0
"Untuk saat ini game ini sangat bagus , saya menyukai cara battle combat nya",suka battle combat,22
"bagus, bagus, saya suka pity",suka pity,2
Mantapp,mantapp,28
Gacha ampas Mulu 👹,gacha ampas mulu,6
Asek ini gw kira sistem fight nya kek genshin tapi ini lebih bagus menurut gw tapi bagi klean kalo ngeleg HP klean kentang turn-based,asek sistem fight genshin klean ngeleg hp klean kentang turn based,12
Sangat rekomended karna waifunya,rekomended karna waifunya,28
Keren👍 mantap mihoyo.. MC Nya keren apalagi yg cewenya kece dan yang Cowo nya ganteng🤝🗿 Tingkat kan lagi...Buat mengatasi Bug dll...Tapi game sudh bagus Makasih Devloper!👋😉,mihoyo mc cewenya kece cowo ganteng tingkat atas bug dll sudh devloper,-1
Bisakah ditambahkan fitur chat dalam game? Chat dengan teman.🙏,fitur chat chat teman,29
si fomo knp jir,fomo jir,25
Bagus banget tp ya kalo update keluar lagi disuruh dan pas masuk lagi loading nya nunggu 1 Minggu kagak kelar pasti seharian loh nungguin nya,tp update suruh masuk loading tunggu minggu kelar hari loh nungguin,-1
Udah update praunduh kok disuruh update ulang lagi,update praunduh suruh update ulang,-1
game bagus update,update,9
"Ga bisa skip cerita,.. Padahal game solo player yg khusus cerita saja ada skipnya.. Ini malah maksa dengerin dan baca teks story yang panjang,..",skip cerita solo player khusus cerita skip maksa dengerin baca teks story,-1
"Just send input, I'm a bored player playing alone, please update in the future, it can be fun",send input bored player playing alone update future fun,4
"hello, saya mengalami kendala saat memainkan game ini, yaitu sizenya yang terlalu besar, bisakah anda membuat game yg bisa diatur size nya seperti mobile legend? gacha",hello alami kendala main sizenya atur size mobile legend gacha,23
"game sampah,gacha aja sampah, sistem inflasi hp tolol abis, mending turuu",sampah gacha sampah sistem inflasi hp tolol abis mending turuu,-1
"Coba dulu, belum memainkannya",coba main,-1
"gameplay, story, grafik oke banget bagussss😍",story grafik bagussss,28
"Saya sangat menyukai game ini tetapi ada masalah yang membuat saya tidak bisa menikmati game ini. Yaitu bug map transparan bukan hanya di map saja tapi saat gacha juga bahkan saat ingin menjalankan quest bug itu tetap ada sudah dicoba hapus dan download game ini tetapi tidak berhasil, saya tapi tidak tahu apakah bug ini ada orang lain yang mengalaminya atau hanya saya saja. Padahal saya ingin melanjutkan bermain game ini dan menikmati story dari hsr. Aku harap ada optimasi tambahan",suka nikmat bug map transparan map gacha jalan quest bug coba hapus download hasil bug orang alam lanjut main nikmat story hsr harap optimasi tambah,1
Aku suka game nya gacha,suka gacha,-1
"GM mohon di update setiap hari untuk puzzlenya yang berada di map Xianzhou Loufu dan Jarilo VI, saya membutuhkan puzzle tersebut untuk mendapatkan Stellar Jade dan player biar tidak bosan juga untuk bermain saja kalau hanya menyelesaikan daily quest setiap harinya tanpa ada quest atau puzzle yang terbaru. Itu saja saran yang ingin saya sampaikan untuk update patch yang akan datang Terimakasih",gm update puzzlenya map xianzhou loufu jarilo vi butuh puzzle stellar jade player biar bosan main selesai daily quest hari quest puzzle baru saran update patch,1
alay yg kasih rating bintang 1,alay rating bintang,3
ikutan donh,ikut donh,-1
Sistem gacha tidak ramah f2p.. 5 akun yg saya mainkan perlu pity di atas 75 tidak ada pity 50/50,sistem gacha ramah f p akun main pity pity,6
Dari segi game udah bagus semua dari story hingga gameplay minusnya cuman di cutscane game aja bisa sih diakalin pake opsi pengembang buat paksa GPU cuman ribet aja pity,segi story minus cuman cutscane diakalin pake opsi kembang paksa gpu cuman ribet pity,-1
Rawr,rawr,-1
game nya makin lama menjual charkter Powercrip ndk ngotak banner,jual charkter powercrip ndk pikir banner,-1
"Aihhh udah hard pity malah dapat gepard.... tolong lah pihak HsR hargai perjuangan player F2P udah capek-capek ngumpulin stellar jade hingga berjam-jam..pity udah tercapai Giliran gacha char yg didapat tidak sesuai dengan banner yg tersedia.. tidak sesuai dengan bayaran yg didapat, seharusnya sedikit memperhatikan player yg bermain gratis.. memang hadiah yg di beri banyak tapi itu ga menjamin bahwa bisa mendapatkan char sesuai banner😔 banner",aihhh hard pity gepard hsr harga juang player f p lelah lelah kumpul stellar jade jam jam pity capai gilir gacha char sesuai banner sedia sesuai bayar perhati player main gratis hadiah jamin char sesuai banner banner,1
"ok but- every gacha, I don't get 5 stars anw broo aku lupa ujian equilibrium dan loncat ke xianzhou lalu penacony, setelah aku melakukan ujian tersebut, level exp ku menghilang dan kembali menjadi level 30 padahal seharusnya sudah level 40.",every gacha get stars anw broo lupa uji equilibrium loncat xianzhou penacony uji level exp ku hilang level level,1
GK ada fitur telanjang in waifu,fitur telanjang waifu,29
Bagus tapi jangan ngelag,ngelag,16
GAME YG SANGAT MEMANJAKAN MATA !!!!! RECOMENDED BGT !!!!! update,manja mata recomended update,-1
Saya akan donwload game ini nanti jika sudah ada komputer di kamar saya biar saya bisa bermain setiap hari dari karakter seperti archan arlceehino cumbina saja saya sudah mengagumi game ini cmn saya memakai HP android maka dari itu sya harus membeli komputer,donwload komputer kamar biar main karakter archan arlceehino cumbina kagum pakai hp android beli komputer,-1
