content,clean_final
Yang jelek cuma rate gacha kek biasa,jelek rate gacha
seruuuuuuuu cuma kadang ngelag ajah banner,seruuuuuuuu kadang ngelag ajah banner
"Untuk gameplay dari game bagus, terutama yg waktu di bos jarillo IV, bisa gunain skill golem yg gede 😀😀😀😀",bos jarillo iv gunain skill golem gede
"Sehat"" game baik gacha",gacha
yang rating rendah emang gamampu gacha castorice,rating rendah gamampu gacha castorice
Game seru banget game nya turn-based,turn based
"Gamenya bagus grafik juga bagus,tapi lodingnya lama sama biasanya keluar sendiri😭 gacha",grafik lodingnya gacha
"Game yang sangat bagus dari segi gameplay maupun story, recommended banget.Tapi untuk stat relic nya mohon di permudah",segi story recommended stat relic mudah
"Gimana dah baru balik lagi, malah semua akun gua ke reset",gimana akun reset
"yosh game rpg turn base yang emang bener bener ngasih pengalaman beda ama game lain, mulai dari elemental sama weakness break, mantap lah pokoknya, dan juga dari segi gameplay dan juga pov yang bener bener ngasih suasana yang bikin makin betah buat main🔥 pity",yosh rpg turn base bener bener alam beda ama elemental weakness break pokok segi pov bener bener suasana betah pity
saud x rizki x harry,saud x rizki x harry
Hebat,hebat
Kenapa Ngak Bisa Unduh datanya,unduh data
"Seru, aku suka semua game yang di buat mihoyo",suka mihoyo
Mantap dapet Kafka😁😅😁😅😅😁,kafka
Bintang 1 dulu nanti kalo bisa login baru bintang 5,bintang login bintang
"Bisakah pada bagian quest (warna biru) itu diberikan fitur skip? , soalnya boring kalau harus ngomong trus ,kalau bisa diberikan fitur skip agar cepat menyelesaikan quest nya turn-based",quest warna biru fitur skip boring ngomong fitur skip cepat selesai quest turn based
Mantap ga kikir banner,kikir banner
intinya bukan game kikir😁🙏 turn-based,inti kikir turn based
Sangat membosankan banner,bosan banner
"knapaa banyak player skill isuuu di game ini?? tapi nyalahin hp inflasi ama powercreep .. gw free player aman2 ajaaa ... amaa padaaa jadii cenayangg global passive bakal ngrusak game, yaaa benerr kalo tiap patch diriliss , laa kaloo setaun skill ???? minn storyy jgn kebanyakan yapping , dan di hp kentang gw kdg stuk login 🙏",knapaa player skill isuuu nyalahin hp inflasi ama powercreep free player aman ajaaa amaa padaaa jadi cenayangg global passive ngrusak yaaa benerr patch diriliss laa kaloo taun skill minn storyy banyak yapping hp kentang kdg stuk login
"Msh bnyak bug berkeliaran,. 😂",msh bnyak bug liar
jujur ga paham lagi di spam bintang satu karena castorice mau rilis🗿,jujur paham spam bintang castorice rilis
Mmmwuachhh,mmmwuachhh
"Gim baik, tapi game turn base gacha tuh emg berat karena yang namanya turn base itu pasti musuhnya bermacam² tipe, nah buat nye imbangi lawan musuh² jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk.",turn base gacha tuh berat nama turn base musuh tipe nye imbang lawan musuh tipe sesuai gacha character wkwkwk
Game turn base terbaik sejauh ini,turn base baik
Bagus banget aku suka Tapi akun aku jarang banget dapat char b5 Tapi gapapa saya sangat menikmati gamenya,suka akun jarang char b gapapa nikmat
makin rusak nih game kek genshin,rusak nih genshin
wibu bau bawang,wibu bau bawang
"Suka banget sama game nya, panjang umur game baik",suka umur
"Wadaww Seru cuman you know lah, masih banyak kekurangan. But yeah that's good, I mean, it's a really fun game. Aku gak bisa bilang ini game gak seru, masih banyak kekurangan tapi yah... Just understand",wadaww cuman know kurang yeah mean really fun bilang kurang yah understand
oi give us star 4 remembrance or anything la. too many star 5 who cant compete with new character pity,oi give us star remembrance anything la many star cant compete new character pity
Overal bagus cuman Ya namanya juga game turn based Kalo pengen adain fitur kaya Game Genshin ya ngotaklah sikit,overal cuman nama turn based ken adakan fitur kaya genshin ngotaklah sikit
3.0 is the worst Patch and here's the Reasons: 1. So many Black Screen without any Cutscenes/Animation for the Character doing something 2. The Gameplay is very long that took almost 10+hours full of Yapping and less Cutscenes with just only 7 Minutes of Cutscenes 3. Worst Story Telling Ever.. Even HI3 Part 2 Current Patch is better than 3.0 Amphoreus 4. The Static Movement of the Characters without any Variation and Stationary Camera also The characters don't have any Expressions on their Face,worst patch reasons many black screen without cutscenes animation character something long took almost hours full yapping less cutscenes minutes cutscenes worst story telling ever even hi part current patch better amphoreus static movement characters without variation stationary camera also characters expressions face
Kecewa berat 🤓🤓,kecewa berat
jadi game ampas gini cok,ampas gin cok
"padahal game nya bsgus, cuma gara"" dialog doang banyak dari pada cut shene.",bsgus gara dialog doang cut shene
Cinta banget sama nih game ga kikir samsek❤️❤️❤️,cinta nih kikir samsek
powercreepnya mengerikan,powercreepnya keri
"Aku sih suka, gamenya bagus banner",suka banner
